OBJECTID,state_number,nhs_rest_stop,highway_route,mile_post,municipality,county,state,latitude,longitude,number_of_spots,x,y
259,12,NHS Rest Stop or Truck Facility 8,I-10E,318,Olustee,Baker,FL,30.253936,-82.40276,22,-82.4027600003564,30.2539360003658
260,12,NHS Rest Stop or Truck Facility 9,I-10W,318,Olustee,Baker,FL,30.255054,-82.400722,25,-82.4007219996578,30.2550539997322
261,12,NHS Rest Stop or Truck Facility 17,I-10W,295,Wellborn,Hamilton,FL,30.2748,-82.7998,15,-82.7998000001357,30.2748000002551
262,12,NHS Rest Stop or Truck Facility 7,I-10E,294,Wellborn,Suwannee,FL,30.274817,-82.799847,14,-82.7998469999914,30.274817000374
263,12,NHS Rest Stop or Truck Facility 6,I-10E,265,Lee,Madison,FL,30.36795,-83.249233,26,-83.2492330000846,30.3679500003531
264,12,NHS Rest Stop or Truck Facility 16,I-10W,265,Lee,Madison,FL,30.3689,-83.2438,23,-83.243800000026,30.3689000002134
265,12,Weigh Station,I-10E,264,Lee,Madison,FL,30.3734,-83.2726,27,-83.272599999713,30.3734000003058
266,12,Weigh Station,I-10W,264,Lee,Madison,FL,30.3747,-83.2723,27,-83.2723000001373,30.3746999996443
267,12,Weigh Station,I-75S,449,Jennings,Hamilton,FL,30.4181,-82.8985,39,-82.8984999997647,30.4180999996614
268,12,Weigh Station,I-75N,449,Jennings,Hamilton,FL,30.4215,-82.9029,31,-82.9029000001286,30.4215000002928
269,12,NHS Rest Stop or Truck Facility 5,I-10E,234,Aucilla,Jefferson,FL,30.445454,-83.734041,10,-83.7340410001519,30.4454540001681
270,12,NHS Rest Stop or Truck Facility 15,I-10W,234,Aucilla,Jefferson,FL,30.447008,-83.730551,11,-83.7305510003573,30.4470079996954
271,12,NHS Rest Stop or Truck Facility 4,I-10E,194,Tallahassee,Leon,FL,30.483978,-84.388752,19,-84.3887519998217,30.4839780000226
